"Mean Sequence Quality (Phred Score)"	"OG_skin_1"	"OG_skin_2"
9		1
10		4
11		12
12		38
13		205
14	2	1143
15	8	4453
16	50	14022
17	310	32442
18	1178	57188
19	3232	86201
20	7575	117128
21	16112	149194
22	28954	181102
23	46991	212532
24	68257	242381
25	95188	274441
26	127062	307300
27	166236	342959
28	212150	380976
29	259361	420021
30	304383	462639
31	353859	517346
32	411895	587552
33	483645	676420
34	569550	795180
35	684433	963187
36	848754	1215265
37	1115010	1642098
38	1642555	2510455
39	3217573	4854159
40	15623464	9239743
